,1. open,2. high,3. low,4. close,5. volume
2024-05-23,190.98,191.0,186.625,186.88,51005924.0
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0
2024-05-28,191.51,193.0,189.1,189.99,52280051.0
2024-05-29,189.61,192.247,189.51,190.29,53068016.0
2024-05-30,190.76,192.18,190.63,191.29,49947941.0
2024-05-31,191.44,192.57,189.91,192.25,75158277.0
2024-06-03,192.9,194.99,192.52,194.03,50080539.0
2024-06-04,194.635,195.32,193.0342,194.35,47471445.0
2024-06-05,195.4,196.9,194.87,195.87,54156785.0
2024-06-06,195.685,196.5,194.17,194.48,41181753.0
2024-06-07,194.65,196.94,194.14,196.89,53103912.0
2024-06-10,196.9,197.3,192.15,193.12,97262077.0
2024-06-11,193.65,207.16,193.63,207.15,172373296.0
2024-06-12,207.37,220.2,206.9,213.07,198134293.0
2024-06-13,214.74,216.75,211.6,214.24,97862729.0
2024-06-14,213.85,215.17,211.3,212.49,70122748.0
2024-06-17,213.37,218.95,212.72,216.67,93728300.0
2024-06-18,217.59,218.63,213.0,214.29,79943254.0
2024-06-20,213.93,214.24,208.85,209.68,86172451.0
2024-06-21,210.39,211.89,207.11,207.49,246421353.0
2024-06-24,207.72,212.7,206.59,208.14,80727006.0
2024-06-25,209.15,211.38,208.61,209.07,56713868.0
2024-06-26,211.5,214.86,210.64,213.25,66213186.0
2024-06-27,214.69,215.7395,212.35,214.1,49772707.0
2024-06-28,215.77,216.07,210.3,210.62,82542718.0
2024-07-01,212.09,217.51,211.92,216.75,60402929.0
2024-07-02,216.15,220.38,215.1,220.27,58046178.0
2024-07-03,220.0,221.55,219.03,221.55,37369801.0
2024-07-05,221.65,226.45,221.65,226.34,60412408.0
2024-07-08,227.09,227.85,223.25,227.82,59085861.0
2024-07-09,227.93,229.4,226.3721,228.68,48169822.0
2024-07-10,229.3,233.08,229.25,232.98,62627687.0
